,tan^(-1) x,Integral with quad
0,0.0,0.0
1,0.09966865249116204,0.09966865249116204
2,0.19739555984988078,0.19739555984988078
3,0.29145679447786715,0.29145679447786715
4,0.3805063771123649,0.3805063771123649
5,0.4636476090008061,0.46364760900080615
6,0.5404195002705843,0.5404195002705843
7,0.6107259643892087,0.6107259643892087
8,0.6747409422235527,0.6747409422235526
9,0.7328151017865066,0.7328151017865066
10,0.7853981633974483,0.7853981633974484
11,0.8329812666744317,0.8329812666744317
12,0.8760580505981935,0.8760580505981934
13,0.9151007005533605,0.9151007005533603
14,0.9505468408120752,0.9505468408120752
15,0.982793723247329,0.982793723247329
16,1.0121970114513341,1.0121970114513341
17,1.039072259536091,1.039072259536091
18,1.0636978224025597,1.0636978224025595
19,1.0863183977578734,1.0863183977578736
20,1.1071487177940904,1.1071487177940904
21,1.1263771168937977,1.1263771168937977
22,1.1441688336680205,1.1441688336680205
23,1.1606689862534056,1.1606689862534054
24,1.1760052070951352,1.176005207095135
25,1.1902899496825317,1.1902899496825323
26,1.2036224929766774,1.2036224929766792
27,1.2160906747839564,1.2160906747839564
28,1.2277723863741932,1.2277723863741934
29,1.2387368592520112,1.2387368592520112
30,1.2490457723982544,1.2490457723982544
31,1.2587542052323633,1.2587542052323764
32,1.2679114584199251,1.267911458419929
33,1.2765617616837088,1.2765617616837086
34,1.2847448850775784,1.2847448850775784
35,1.2924966677897853,1.2924966677897851
36,1.299849476456476,1.2998494764564759
37,1.3068326031691921,1.306832603169192
38,1.313472611823808,1.3134726118238083
39,1.319793640151862,1.319793640151862
40,1.3258176636680326,1.3258176636680323
41,1.331564726831236,1.331564726831236
42,1.3370531459259951,1.3370531459259951
43,1.3422996875030344,1.3422996875030342
44,1.3473197256542637,1.3473197256542635
45,1.3521273809209546,1.3521273809209546
46,1.356735643231075,1.3567356432310749
47,1.3611564809206842,1.3611564809206838
48,1.3654009376051293,1.365400937605129
49,1.3694792184202558,1.3694792184202562
50,1.373400766945016,1.3734007669450166
