,Intensity,Count
0,1.5,0
1,2.5,0
2,3.5,0
3,4.5,0
4,5.5,0
5,6.5,0
6,7.5,0
7,8.5,0
8,9.5,0
9,10.5,0
10,11.5,0
11,12.5,0
12,13.5,0
13,14.5,0
14,15.5,0
15,16.5,0
16,17.5,0
17,18.5,0
18,19.5,438
19,20.5,408
20,21.5,401
21,22.5,306
22,23.5,265
23,24.5,349
24,25.5,319
25,26.5,172
26,27.5,200
27,28.5,147
28,29.5,155
29,30.5,138
30,31.5,151
31,32.5,161
32,33.5,92
33,34.5,64
34,35.5,77
35,36.5,68
36,37.5,78
37,38.5,103
38,39.5,144
39,40.5,176
40,41.5,186
41,42.5,199
42,43.5,202
43,44.5,211
44,45.5,175
45,46.5,221
46,47.5,204
47,48.5,199
48,49.5,187
49,50.5,180
50,51.5,168
51,52.5,157
52,53.5,162
53,54.5,161
54,55.5,132
55,56.5,151
56,57.5,125
57,58.5,126
58,59.5,138
59,60.5,152
60,61.5,148
61,62.5,174
62,63.5,162
63,64.5,173
64,65.5,168
65,66.5,169
66,67.5,166
67,68.5,163
68,69.5,202
69,70.5,172
70,71.5,177
71,72.5,191
72,73.5,165
73,74.5,149
74,75.5,167
75,76.5,147
76,77.5,168
77,78.5,134
78,79.5,158
79,80.5,154
80,81.5,167
81,82.5,126
82,83.5,178
83,84.5,120
84,85.5,155
85,86.5,179
86,87.5,123
87,88.5,159
88,89.5,170
89,90.5,135
90,91.5,175
91,92.5,157
92,93.5,146
93,94.5,115
94,95.5,85
95,96.5,64
96,97.5,51
97,98.5,19
